"species","year","meanLen"
"bkt",2000,69.3731343283582
"bkt",2001,64.0108695652174
"bkt",2002,64.8629737609329
"bkt",2003,68.5700575815739
"bkt",2004,65.5228215767635
"bkt",2005,66.3070175438596
"bkt",2006,77.2083333333333
"bkt",2007,73.3854166666667
"bkt",2008,84.0146699266504
"bkt",2009,73.7594936708861
"bkt",2010,65.0769230769231
"bkt",2011,81.5217391304348
"bkt",2012,68.7173913043478
"bkt",2013,74.7948717948718
"bkt",2014,68.7770961145194
"bkt",2015,63.6785714285714
"bnt",2000,73.3571428571429
"bnt",2001,64.6825396825397
"bnt",2002,65.0266666666667
"bnt",2003,66.6224489795918
"bnt",2004,64.844398340249
"bnt",2005,66.6063829787234
"bnt",2006,75.4939759036145
"bnt",2007,71.3859649122807
"bnt",2008,76.8108108108108
"bnt",2009,76.0711111111111
"bnt",2010,71.469387755102
"bnt",2011,84.9189189189189
"bnt",2012,74.11
"bnt",2013,77.3820224719101
"bnt",2014,69.6240310077519
"bnt",2015,61.2741312741313
