"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"p",0.614188721476585,0.00822817382785278,0.598561988750526,0.613994003038542,0.630308798571514,1,923
"phi",0.701212268272784,0.00562072741962923,0.690116345488133,0.701161910831586,0.712863691385112,1,983
