"ais_1","ais_2","ais_3","ais_4","ais_5","ais_6","ais_7","ais_8","ais_9","ais_10","ais_11","ais_12"
-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388,0,0,0,0,0,0,0,0
-0.766855828923577,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.763121137299038,-0.875205869927331,-0.108887660265642,1.30803398709482,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388,0,0,0,0,0,0,0,0
-0.766855828923577,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.707407171785884,-1.03942827515441,-0.777251773051947,0.0850908897200108,0,0,0,0,0,0,0,0
-0.766855828923577,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.763121137299038,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388,0,0,0,0,0,0,0,0
-0.766855828923577,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.707407171785884,-1.03942827515441,-0.777251773051947,0.0963608003428837,0,0,0,0,0,0,0,0
-0.707407171785884,-1.03942827515441,-0.777251773051947,0.0963608003428837,0,0,0,0,0,0,0,0
-0.766855828923577,-0.875205869927331,-0.128866461587182,1.31306951945261,-1.21486989637238,-1.32963071418446,1.12443935634005,0.10523952791736,-0.707407171785884,-1.03942827515441,-0.799959138353807,0.080763359397388
-0.707407171785884,-1.03942827515441,-0.777251773051947,0.0850908897200108,0,0,0,0,0,0,0,0
